P/N,RefDes,Value
20SVPF120M,C1,120uF
UUD1V331MNL1GS,C2,330uF
GRM155R60J475ME87D,C3,4.7uF
GRM033R70J103KA01D,C4,10nF
GRM155R60J475ME87D,C5,4.7uF
B340LA-13-F,D1,
OSTVN02A150,J1,
OSTVN02A150,J2,
OSTVN02A150,J3,
OSTVN02A150,J4,
OSTVN02A150,J5,
OSTVN02A150,J6,
OSTVN02A150,J7,
OSTVN02A150,J8,
OSTVN02A150,J9,
PJ-037A,J10,12VDC
2222,J11,
PPPC041LFBN-RC,J12,
61300211121,J13,
MTSW-110-08-L-S-322,J14,
MTSW-110-08-L-S-322,J15,
PJ-037A,J16,9VDC
MSS1210-153MEB,L1,33uH
LSM0805452V,LED1,
LSM0805452V,LED2,
LSM0805452V,LED3,
PRT-14275,P1,
PPPC021LFBN-RC,P2,
AOD442G,Q1,
AOD442G,Q2,
AOD442G,Q3,
RMCF0603FT1K00,R1,1kOhm
RMCF0805FT300R,R2,300Ohm
RMCF0603FT130R,R3,130Ohm
RMCF0603FT100R,R4,100Ohm
RMCF0603FT100R,R5,100Ohm
RMCF0603FT100R,R6,100Ohm
100SP1T1B4M2QE,S1,
100SP1T2B4M6QE,S2,
TL3305AF260QG,S3,
LM2596SX-5.0/NOPB,U1,
TPS79633QDCQRQ1,U2,
